产品,问题,正确答案,RAG答案,是否准确
移小保和医保重大疾病保险,轻症疾病保障是必须购买的吗？,"根据产品文档信息，轻症疾病保障不是必须购买的。该保险产品的保险责任分为基本部分（重大疾病保障）和可选部分（轻症疾病保障），您可以选择只投保基本部分，也可以在投保基本部分的同时选择投保可选部分，但不能单独投保可选部分。

[参考文档块：块6]","根据移小保和医保重大疾病保险的相关条款，轻症疾病保障属于可选保障责任，不是必须购买的。

具体说明如下：

1. **保障性质**：轻症疾病保险金属于""可选部分""，而非主险的强制保障内容。投保人可根据自身需求选择是否投保此项保障。

2. **保障内容**：若选择投保轻症保障，在被保险人初次确诊合同定义的50种轻症疾病时，将按基本保险金额的30%给付轻症疾病保险金。

3. **赔付规则**：需要注意的是，如果被保险人同时符合重大疾病和轻症疾病的保险责任，保险公司仅承担重大疾病保险金的给付责任。

4. **产品特点**：该产品为一年期不保证续保合同，保险期间届满需重新申请投保。

建议您根据自身的健康保障需求和预算情况，综合考虑是否选择轻症疾病保障。如果预算允许，选择轻症保障可以获得更全面的疾病防护。",准确
移小保和医保重大疾病保险,如果被保险人身故，保险金会给谁？,"根据产品文档信息，如果被保险人身故，保险金将作为被保险人的遗产，由保险公司依照《中华人民共和国民法典》的规定给付保险金。具体情形包括：没有指定受益人、受益人指定不明无法确定；受益人先于被保险人身故且没有其他受益人；受益人依法丧失受益权或放弃受益权且没有其他受益人。

[参考文档块：块19, 块20]","根据移小保和医保重大疾病保险条款规定：

**一般情况下：**
- 本主险合同各项保险金的受益人均为被保险人本人

**被保险人身故时，保险金将按以下顺序给付：**

1. **指定受益人优先**：如果已明确指定受益人，保险金将直接给付给指定受益人

2. **作为被保险人遗产的情形**（符合以下任一情况时）：
   - 没有指定受益人，或者受益人指定不明无法确定的
   - 受益人先于被保险人身故，且没有其他受益人的
   - 受益人依法丧失受益权或者放弃受益权，且没有其他受益人的

3. **特殊情况处理**：
   - 受益人与被保险人在同一事件中身故，且不能确定身故先后顺序的，推定受益人身故在先
   - 受益人故意造成被保险人死亡、伤残、疾病的，该受益人丧失受益权

当保险金作为被保险人遗产时，保险公司将依照《中华人民共和国民法典》关于遗产继承的规定给付保险金。",准确
移小保和医保重大疾病保险,投保时需要提供哪些健康告知信息？,"根据产品文档信息，投保时需要如实告知被保险人的有关情况。保险公司会对您和被保险人的有关情况提出询问，您应当如实告知。如果故意或因重大过失未履行如实告知义务，可能会影响保险合同的效力。

[参考文档块：块25, 块26]","根据您提供的保险条款内容，关于投保时需要提供的健康告知信息，说明如下：

**健康告知原则：**
在投保过程中，您需要遵循**如实告知**原则。保险公司会对您和被保险人的有关情况提出询问，您必须如实提供相关信息。

**具体告知要求：**
1. 保险公司会明确询问与承保相关的健康状况
2. 您需要如实回答保险公司提出的所有健康相关问题
3. 告知内容应包括但不限于既往病史、现有疾病、手术史等

**重要提示：**
- 如果故意或因重大过失未履行如实告知义务，且足以影响保险公司承保决定或费率厘定，保险公司有权解除合同
- 故意不告知的，保险公司对合同解除前发生的保险事故不承担保险责任，且不退还保险费
- 因重大过失未告知且对保险事故有严重影响的，保险公司不承担保险责任，但会无息退还保险费

**建议：**
在投保时请仔细阅读健康告知问卷，如实填写所有询问事项，如有不确定的情况，建议咨询保险顾问或直接联系保险公司客服获取具体指导。",准确
移小保和医保重大疾病保险,保险事故发生后需要在多长时间内通知保险公司？,"根据保险条款规定，您、被保险人或受益人知道保险事故后应当在十日内通知保险公司。如果因故意或重大过失未及时通知，导致保险事故的性质、原因、损失程度难以确定的，保险公司对无法确定的部分不承担给付保险金的责任。

[参考文档块：块21]","根据移小保和医保重大疾病保险条款第十一条规定：

**保险事故发生后，您、被保险人或受益人应当在知道保险事故后的十日内通知保险公司。**

需要特别注意的是：
- 如果因故意或重大过失未及时通知，导致保险事故的性质、原因、损失程度等难以确定的，保险公司对无法确定的部分不承担给付保险金的责任
- 但以下情况除外：保险公司通过其他途径已经及时知道事故发生的，或虽未及时通知但不影响确定保险事故性质的

建议在保险事故发生后尽快通知保险公司，以确保理赔流程顺利进行。",准确
移小保和医保重大疾病保险,申请理赔时需要准备哪些材料？,"根据产品文档信息，申请理赔时需要准备以下材料：

1. 保险合同原件或其他保险凭证
2. 受益人的有效身份证件
3. 由保险公司认可的医院出具的确诊重大疾病或轻症疾病的证明材料
4. 与确认保险事故的性质、原因等相关的其他证明、资料

如果受益人提交的证明和资料不完整，保险公司将及时一次性通知需补充提供的有关证明和资料。

[参考文档块：块21]","根据移小保和医保重大疾病保险条款第十二条规定，申请理赔时需要准备以下材料：

**必备材料清单：**
1. 保险合同原件或其他保险凭证
2. 受益人的有效身份证件
3. 由保险公司认可的医院出具的确诊重大疾病或轻症疾病的证明材料
4. 与确认保险事故性质、原因等相关的其他证明和资料

**重要提醒：**
- 保险事故发生后，应在10日内通知保险公司
- 如提交材料不完整，保险公司会一次性通知补充所需材料
- 保险公司在收到完整材料后，5个工作日内作出核定；情形复杂的在30日内作出核定
- 建议提前联系保险公司客服，确认具体疾病诊断所需的详细医疗证明材料清单

建议您准备好上述材料后及时向保险公司提交理赔申请。",准确
移小保和医保重大疾病保险,如果年龄填写错误会影响保险合同吗？,"根据产品文档信息，如果投保时填写的被保险人年龄不真实，确实会影响保险合同。具体处理方式如下：

1. 如果真实年龄不符合投保规定，保险公司有权解除合同，并退还现金价值
2. 如果因年龄不真实导致实付保险费少于应付保险费，保险公司有权要求补交保险费。若已发生保险事故，按实付与应付保险费的比例给付保险金
3. 如果因年龄不真实导致实付保险费多于应付保险费，保险公司会将多收的保险费无息退还

投保年龄以法定证件登记的周岁计算，投保时应确保填写的出生日期与有效身份证件相符。

[参考文档块：块27]","根据移小保和医保重大疾病保险条款第十八条关于年龄确定与错误处理的规定：

**年龄填写错误确实会影响保险合同**，具体处理方式如下：

1. **严重情况**：如果真实年龄不符合投保规定，保险公司有权解除合同，并退还保单现金价值。

2. **保费不足**：如果因年龄错误导致实付保费少于应付保费：
   - 保险公司有权要求补交差额
   - 若已发生保险事故，按实付保费与应付保费的比例给付保险金

3. **保费多付**：如果因年龄错误导致实付保费多于应付保费，保险公司会将多收的保费无息退还。

**建议**：投保时应确保填写的被保险人年龄与有效身份证件完全一致，避免因年龄错误产生不必要的纠纷或影响保险权益。如发现年龄填写错误，应及时联系保险公司进行更正。",准确
移小保和医保重大疾病保险,这个产品保证续保吗？,"根据产品文档信息，该保险产品不保证续保。本产品保险期间为一年，保险期间届满后需要重新申请投保，并经保险公司同意并交纳保险费，才能获得新的保险合同。

[参考文档块：块10]","根据提供的条款内容，移小保和医保重大疾病保险**不保证续保**。

具体依据为条款第四条明确说明：
- ""本主险合同为不保证续保合同""
- ""本产品保险期间为一年。保险期间届满，您需要重新向我们申请投保本产品，并经我们同意，交纳保险费，获得新的保险合同""

这意味着每个保险年度结束后，您需要重新提交投保申请，保险公司有权根据您的健康状况和其他因素决定是否同意续保，并可能调整保险费率或承保条件。",准确
移小保和医保重大疾病保险,重大疾病具体包含哪些疾病种类？,"根据产品文档信息，招商仁和仁爱随行重大疾病保险（互联网）提供保障的重大疾病共有100种，包括但不限于以下疾病种类：

- 恶性肿瘤——重度
- 较重急性心肌梗死
- 严重脑中风后遗症
- 重大器官移植术或造血干细胞移植术
- 冠状动脉搭桥术
- 严重慢性肾衰竭
- 多个肢体缺失
- 急性重症肝炎或亚急性重症肝炎
- 严重非恶性颅内肿瘤
- 严重慢性肝衰竭
- 严重脑炎后遗症或严重脑膜炎后遗症
- 深度昏迷
- 双耳失聪
- 双目失明
- 瘫痪
- 心脏瓣膜手术
- 严重阿尔茨海默病
- 严重脑损伤
- 严重原发性帕金森病
- 严重Ⅲ度烧伤

完整100种重大疾病名称详见产品附表，具体疾病定义请参考条款第二十二条""重大疾病的定义""。

[参考文档块：块5, 块7, 块9, 块30, 块31, 块32, 块33, 块34, 块35, 块36, 块37, 块38, 块39, 块40, 块41, 块42, 块43, 块44, 块45, 块46, 块47, 块48, 块49, 块50, 块51, 块52, 块53, 块54, 块55, 块56, 块57, 块58, 块59, 块60, 块61, 块62, 块63, 块64, 块65, 块66, 块67, 块68, 块69, 块70, 块71, 块72, 块73, 块74, 块75, 块76, 块77, 块78, 块79, 块80, 块81, 块82, 块83, 块84, 块85, 块86, 块87, 块88, 块89, 块90, 块91, 块92, 块93, 块94, 块95, 块96, 块97, 块98]","根据移小保和医保重大疾病保险的相关内容，该产品保障的重大疾病种类包括：

**一、行业标准定义疾病（第1-28项）**
- 包括恶性肿瘤——重度等由中国保险行业协会制定的28种标准重大疾病

**二、扩展疾病定义（第29-100项）**
从提供的资料中可见的具体疾病包括：
- 自体造血干细胞移植（限急性白血病、恶性淋巴瘤或多发性骨髓瘤）
- 严重肺结节病
- 严重多发性硬化症
- 胆道重建手术
- 急性出血坏死性胰腺炎腹腔镜手术
- 坏死性筋膜炎组织肌肉切除术
- 人工耳蜗植入术
- 较小面积烧伤（Ⅲ度烧伤面积10%-20%）
- 一肢体缺失
- 室壁瘤切除手术
- 角膜移植
- 肠系膜上动脉梗塞致严重肠坏死
- 严重巨细胞动脉炎

**总计保障100种重大疾病**，其中前28项为行业标准定义，后72项为扩展定义。每种疾病都有具体的诊断标准和理赔条件，部分疾病还包含特定的免责条款。

建议您查阅完整的保险合同条款以获取全部100种重大疾病的详细列表和定义。",不准确
移小保和医保重大疾病保险,轻症疾病保障包含哪些具体疾病？,"根据产品文档信息，招商仁和仁爱随行重大疾病保险（互联网）提供的轻症疾病保障包含50种轻症疾病，具体疾病名称详见合同附表。轻症疾病保险金的给付标准为基本保险金额的30%，且轻症疾病保险责任为可选保障部分。

需要特别说明的是，如果被保险人在确诊时同时符合重大疾病和轻症疾病的保险责任，保险公司仅承担重大疾病保险金的给付责任。

[参考文档块：块9, 块10]","根据移小保和医保重大疾病保险的相关内容，轻症疾病保障包含以下50种疾病：

**轻症疾病保障范围：**
- 共保障50种轻症疾病
- 具体疾病名称需参考保险合同附表
- 疾病定义详见合同""第二十三条 轻症疾病的定义""

**赔付标准：**
- 按基本保险金额的30%给付轻症疾病保险金
- 无论确诊一项或多项轻症疾病，均按一项给付
- 给付后该项保险责任终止

**特别说明：**
- 如果同时符合重大疾病和轻症疾病的保险责任，仅承担重大疾病保险金的给付责任
- 前三项轻症疾病定义由中国保险行业协会制定，第四至五十项为非行业协会制定

由于具体50种轻症疾病的完整列表在合同附表中，建议您查阅保险合同原文或联系保险公司客服获取详细的疾病名称清单。",准确
移小保和医保重大疾病保险,如果同时投保了其他商业保险，理赔时会有冲突吗？,"根据现有文档信息，无法找到关于同时投保其他商业保险是否会影响理赔的直接说明。本产品条款主要涉及保险责任、责任免除、理赔申请流程等内容，但未提及与其他商业保险的理赔协调或冲突问题。

[参考文档块：块1, 块3, 块5]","根据移小保和医保重大疾病保险的相关条款，同时投保其他商业保险在理赔时通常不会产生冲突。具体说明如下：

1. **理赔原则**  
   - 商业医疗保险遵循**损失补偿原则**（即实际医疗费用不超过总支出），但**重大疾病保险属于定额给付型**。若确诊合同约定的重大疾病，保险公司将按约定保额一次性赔付，与实际医疗费用无关。  
   - 因此，若同时投保多份重疾险，只要符合条款中的疾病定义，均可独立申请理赔，互不影响。

2. **注意事项**  
   - **如实告知义务**：投保时需如实告知其他商业保险的投保情况，避免因隐瞒信息影响理赔。  
   - **责任免除条款**：需关注本产品不保障的疾病范围（如特定早期肿瘤、精神疾病相关损害、非输血导致的HIV感染等），若其他保险涵盖此类责任，可互补理赔。  
   - **理赔材料**：申请理赔时需提供本合同要求的证明材料（如医院确诊书、保险合同原件等），与其他保险的理赔材料可重复使用，但需分别提交。

3. **例外情况**  
   - 若其他商业保险为**医疗费用补偿型**（如住院医疗险），同一笔医疗费用不可重复报销，总赔付额不超过实际支出。  
   - 部分保险可能约定“他保分摊条款”，但重疾险通常不适用此类规则。

**结论**：移小保和医保重大疾病保险可与其他商业保险共存，重疾理赔互不冲突，但需确保符合各项产品的条款要求，并履行如实告知义务。建议结合具体保险责任综合规划保障。",不准确
移小保和医保重大疾病保险,保险合同的争议可以通过哪些方式解决？,"根据保险条款，因履行本保险合同发生的争议，合同双方不能通过协商解决的，可以达成仲裁协议通过仲裁解决，或者依法向人民法院提起诉讼。

[参考文档块：块29]","根据移小保和医保重大疾病保险的相关条款，保险合同的争议可以通过以下方式解决：

1. **协商解决**：双方可通过友好协商的方式解决争议。

2. **合同变更**：经双方协商同意后，可变更合同内容，并由保险公司签发批单后生效（第二十条）。

3. **合同解除**：投保人可以书面形式或双方认可的其他形式通知保险公司解除合同，需提供解除合同申请书、保险合同原件及有效身份证件（相关内容未明确列出争议解决方式，但合同解除是处理争议的一种途径）。

若以上方式无法解决争议，建议参考保险合同中的具体争议解决条款或咨询保险公司获取进一步指导。",不准确
移小保安欣保2.0长期医疗,这款产品的保障范围具体包括哪些内容？,"根据产品文档信息，移小保安欣保2.0长期医疗包含两个主要保险产品的保障：

1. **平安互联网重症监护住院津贴医疗保险**：
   - 提供重症监护病房住院津贴保障
   - 当被保险人因意外伤害或等待期后因疾病，经医院诊断必须住院治疗，且在住院期间入住重症监护病房进行治疗时
   - 按约定的日额给付重症监护病房住院津贴保险金
   - 每次住院最多给付30日，保险期间内累计最多给付90日

2. **平安互联网重大疾病保险（B款）**：
   - 提供重大疾病保障，涵盖120种重大疾病
   - 提供轻度疾病保障（可选责任），涵盖20种轻度疾病
   - 重大疾病保险金按基本保险金额给付
   - 轻度疾病保险金按基本保险金额的30%给付，仅限给付一次

两个产品均有等待期规定，保险期间均为1年，不保证续保。

[参考文档块：块1, 块3, 块8, 块9, 块12, 块30, 块32, 块37, 块38, 块39, 块56]","根据移小保安欣保2.0长期医疗的保障内容，该产品的保障范围主要包括以下方面：

## 一、基本保障责任

**1. 一般医疗保险金**
- 急诊医疗保险金
- 住院前后门诊急诊医疗保险金（住院前30天和出院后30天）

**2. 特定疾病医疗保险金**
- 特定疾病住院医疗保险金
- 特定疾病指定门诊急诊医疗保险金
- 特定疾病住院前后门诊急诊医疗保险金（前后各30天）

**3. 重大疾病医疗保险金**
- 重大疾病住院医疗保险金
- 重大疾病指定门诊急诊医疗保险金
- 重大疾病住院前后门诊急诊医疗保险金（前后各30天）
- 质子重离子医疗保险金

**4. 其他保障**
- 指定疾病康复医疗保险金
- 重大疾病关爱保险金
- 院外恶性肿瘤特定药品费用医疗保险金
- 院外恶性肿瘤特定用药基因检测费用保险金

## 二、保障额度
- 计划一和计划二年度赔付限额均为200万元
- 一般情况下赔付比例为100%
- 如以基本医疗保险身份投保但就诊时未经医保结算，赔付比例为60%

## 三、保障疾病范围

**特定疾病包括：** 原位癌、激光心肌血运重建术、心脏瓣膜介入手术、强直性脊柱炎的特定手术治疗等较轻度的疾病。

**重大疾病包括：** 恶性肿瘤--重度、深度昏迷、双耳失聪、双目失明、瘫痪、严重阿尔茨海默病等严重疾病。

## 四、注意事项
- 仅承担发生在医院内且由医院实际收取的医疗费用
- 不承担在私立医院、公立医院特需部/VIP部/国际部等产生的医疗费用
- 遵循补偿原则进行赔付

该产品提供全面的医疗保障，涵盖从一般医疗到重大疾病的多层次保障需求。",不准确
移小保安欣保2.0长期医疗,投保年龄有什么限制要求？,"根据产品文档信息，移小保安欣保2.0长期医疗包含两个保险产品，其投保年龄限制如下：

1. 平安互联网重症监护住院津贴医疗保险：首次投保年龄为0周岁至70周岁。投保时被保险人为0周岁的，应当为出生满28日且已健康出院的婴儿。

2. 平安互联网重大疾病保险（B款）：首次投保年龄为0周岁至60周岁。投保时被保险人为0周岁的，应当为出生满28日且已健康出院的婴儿。

[参考文档块：块5, 块34]","根据移小保安欣保2.0长期医疗的相关条款，该产品的投保年龄要求如下：

**首次投保年龄范围：0周岁至70周岁**

具体说明：
- 0周岁婴儿需满足：出生满28日且已健康出院
- 投保年龄以周岁计算，指保险期间开始时的被保险人年龄
- 被保险人年满99周岁前（含99周岁），保险期间届满后可重新申请投保

**其他要求：**
- 被保险人需符合身体健康状况并通过核保审核
- 保障区域为中国大陆地区（不包括港澳台）
- 可形成家庭保单，家庭成员包括父母、子女及投保时具有合法婚姻关系的配偶

**注意：** 所有投保人均需在保险期间开始之日符合上述年龄要求。",不准确
移小保安欣保2.0长期医疗,什么是犹豫期，在犹豫期内退保会有什么影响？,"犹豫期是指自您收到保险合同电子保险单次日起的15日内。在此期间，您可以认真审视保险合同，如果认为与您的需求不相符，可以提出解除合同，保险公司将无息退还您所支付的全部保险费。

在犹豫期内退保的影响是：如果您在犹豫期内解除保险合同，合同解除前发生的保险事故，保险公司不承担保险责任。如果保险公司已经承担了保险责任，被保险人应当退还已经支付的保险金，您对被保险人退还保险金应承担连带责任。

[参考文档块：块6, 块7]","根据移小保安欣保2.0长期医疗保险条款，犹豫期是指投保人在收到保险合同后15天内可以无条件解除合同的期限。

在犹豫期内退保：
- 保险公司会无息退还您已支付的全部保险费
- 不会产生任何经济损失
- 保险合同效力终止

需要注意的是，犹豫期结束后退保将会给您造成一定的经济损失，因此建议您在投保前仔细阅读保险条款，充分了解保险责任、责任免除等内容，慎重做出投保决策。",部分准确
移小保安欣保2.0长期医疗,如果被保险人在重症监护室住院，能获得多少津贴？,"根据产品文档信息，如果被保险人在重症监护室住院，将按以下方式获得津贴：

重症监护病房住院津贴保险金 = 重症监护病房住院津贴保险金日额 × 入住重症监护病房的实际天数

其中：
- 重症监护病房住院津贴保险金日额由投保时与保险公司约定，并在保险单上载明
- 每次住院的给付天数最多为30日，超过30日的部分不再给付保险金
- 在保险期间内，累计给付天数最多为90日

[参考文档块：块8, 块9, 块12]","根据移小保安欣保2.0长期医疗的相关条款，关于重症监护室住院津贴的说明如下：

**津贴计算方式：**
- 重症监护病房住院津贴 = 重症监护病房住院津贴保险金日额 × 入住重症监护病房的实际天数

**给付限制：**
1. **单次住院**：每次住院的重症监护病房津贴给付天数最多为30日，超过30日的部分不予给付。
2. **累计给付**：保险期间内，多次住院的重症监护病房津贴累计给付天数最多为90日。

**注意事项：**
- **等待期**：因疾病入住重症监护病房需等待30天（自合同生效日起），意外伤害无等待期。
- **医院要求**：需在中华人民共和国境内（不含港澳台）合法经营的二级及以上公立医院的重症监护病房接受治疗。
- **责任免除**：需注意条款中列明的责任免除情形，如投保人故意伤害、被保险人故意犯罪等。

**总结：**
具体津贴金额取决于您在投保时约定的""重症监护病房住院津贴保险金日额""。若符合保障条件，将按实际入住天数（单次≤30天，累计≤90天）乘以日额计算给付。

建议您查看保单上载明的具体日额，或联系保险公司客服获取更详细的信息。",准确
移小保安欣保2.0长期医疗,哪些情况属于责任免除范围？,"根据产品文档信息，移小保安欣保2.0长期医疗包含两个保险产品，其责任免除范围分别如下：

**一、平安互联网重症监护住院津贴医疗保险的责任免除范围：**

1. 投保人对被保险人的故意杀害、故意伤害
2. 被保险人故意自杀或自伤、故意犯罪或者抗拒依法采取的刑事强制措施
3. 被保险人殴斗、醉酒、主动吸食或注射毒品
4. 被保险人酒后驾驶、无合法有效驾驶证驾驶或驾驶无有效行驶证的交通工具
5. 核爆炸、核辐射与核污染、战争、军事冲突、恐怖袭击、暴乱或武装叛乱
6. 精神和行为障碍
7. 遗传性疾病和先天性畸形、变形或染色体异常
8. 既往症及保险合同特别约定的除外疾病
9. 被保险人感染艾滋病病毒或患艾滋病期间因疾病导致的
10. 被保险人感染苍白（梅毒）螺旋体、淋病奈瑟菌
11. 疗养、矫形、视力矫正手术、美容、牙科保健、康复治疗、非意外事故所致整容手术
12. 不孕不育治疗、人工受精、怀孕、分娩（含难产）、流产、堕胎、节育（含绝育）、产前产后检查以及由以上原因引起的并发症
13. 高风险活动过程中发生的意外伤害事故，包括：
    - 从事特殊职业类别表中的职业
    - 涉及2米以上水深的自然水域水面或水下运动
    - 涉及距离地面超过10米的高空运动
    - 故意进入存在生命危险的环境中或未经人工开发的自然区域活动
    - 各类搏击或类军事活动
    - 各类特技表演
    - 除竞走、跑步以外的竞速运动
14. 冒名住院、被保险人未到达医院就诊即代诊、不符合入院标准、挂床住院或住院病人应当出院而拒不出院
15. 被保险人接受实验性治疗

**二、平安互联网重大疾病保险（B款）的责任免除范围：**

1. 投保人对被保险人的故意杀害、故意伤害
2. 被保险人故意犯罪或抗拒依法采取的刑事强制措施
3. 被保险人故意自伤、或自本合同成立或者本合同效力恢复之日起2年内自杀（被保险人自杀时为无民事行为能力人的除外）
4. 被保险人服用吸食或注射毒品
5. 被保险人酒后驾驶、无合法有效驾驶证驾驶，或驾驶无有效行驶证的机动车
6. 因附表2第96条、第97条、第98条列明的原因外被保险人感染艾滋病病毒或患艾滋病
7. 战争、军事冲突、暴乱或武装叛乱
8. 核爆炸、核辐射或核污染
9. 遗传性疾病，先天性畸形、变形或染色体异常

[参考文档块：块12, 块13, 块14, 块15, 块16, 块17, 块18, 块43, 块44, 块45, 块46]","根据移小保安欣保2.0长期医疗保险条款，责任免除范围主要包括以下情况：

**一、特定疾病不保障**
以下疾病不在保障范围内：
- 原位癌、癌前病变、交界性肿瘤等ICD-O-3编码为0、1、2的疾病
- 早期甲状腺癌（TNM分期为Ⅰ期或更轻）
- 早期前列腺癌（TNM分期为T1N0M0期或更轻）
- 未转移的皮肤恶性肿瘤（黑色素瘤除外）
- 早期慢性淋巴细胞白血病（Binet分期A期）
- 早期何杰金氏病（Ann Arbor分期Ⅰ期）
- 未转移的G1级别神经内分泌肿瘤

**二、医疗行为不保障**
- 体检、疗养、康复治疗
- 美容整形项目（隆鼻、隆胸、除皱、双眼皮等）
- 视力矫正、斜视矫正手术
- 减肥、增胖、增高等健美治疗
- 不孕不育治疗、人工受精
- 怀孕、分娩、流产及相关并发症
- 口腔科治疗（除口腔肿瘤外）
- 包皮手术、性功能障碍治疗

**三、特定情形不保障**
- 投保人故意伤害被保险人
- 被保险人自杀、自伤、犯罪
- 殴斗、醉酒、吸毒
- 酒驾、无证驾驶
- 战争、核事故、恐怖袭击
- 遗传性疾病、先天性畸形
- 既往症及特别约定除外疾病
- 艾滋病、梅毒、淋病相关治疗
- 实验性治疗、未经医生建议的治疗
- 非约定医院就医（含特需部、VIP部、国际部）
- 境外就医
- 等待期内确诊的疾病

**四、高风险活动不保障**
在进行潜水、跳伞、攀岩、探险、搏击等高风险活动期间发生的意外伤害。

建议您在投保前仔细阅读保险合同全文，如有疑问可咨询保险公司客服。",不准确
移小保安欣保2.0长期医疗,保险期间是多长时间，可以保证续保吗？,"根据产品文档信息，移小保安欣保2.0长期医疗的保险期间为1年，且不保证续保。保险期间届满后，您需要重新申请投保本产品，并经保险公司同意并交纳保险费，才能获得新的保险合同。若保险期间届满时该产品已停止销售，保险公司将不再接受投保申请，但会提供投保其他保险产品的合理建议。

[参考文档块：块7, 块8]","根据移小保安欣保2.0长期医疗险的条款内容：

**保险期间**：本产品的保险期间为1年。

**保证续保**：这是一款保证续保型医疗保险，保证续保期间为20年。在保证续保期间内：
- 保险公司不会因被保险人的身体状况或历史理赔情况而拒绝续保
- 即使产品停售，也不影响您的保证续保权
- 只要您在每一保险期间届满后60日内按时足额缴纳保费，合同将自动续保

需要注意的是，这是一款费率可调的长期医疗保险，在保证续保期间内续保时应缴纳的保险费是不确定的，保险公司有权根据条款约定调整费率。

20年保证续保期间届满后，如需继续投保，需要重新提出申请并经过保险公司核保审核。",不准确
移小保安欣保2.0长期医疗,如何申请理赔，需要准备哪些材料？,"根据产品文档信息，申请理赔需要准备以下材料：

1. 保险合同
2. 受益人的有效身份证件
3. 医院出具的医疗诊断书、医疗病历或出院小结、检查检验报告及费用清单
4. 医院出具的医疗费用原始凭证和医疗费用结算清单
5. 所能提供的与确认保险事故的性质、原因等有关的其他证明和资料

理赔申请流程：由受益人填写保险金给付申请书，并提供上述证明和资料。如果资料不完整，保险公司会及时一次性通知补充提供。

需要注意的是，被保险人应在合同约定的医院就诊，若因急诊未在约定医院就诊，应在3日内通知保险公司，并在病情好转后及时转入约定医院。

[参考文档块：块21, 块22]","根据移小保安欣保2.0长期医疗保险条款，理赔申请流程及所需材料如下：

## 理赔申请流程
1. **及时通知**：保险事故发生后应及时通知保险公司，若因重大过失未及时通知导致事故性质、原因、损失程度难以确定的，保险公司对无法确定的部分不承担保险责任
2. **医院要求**：应在合同约定的医院就诊，急诊情况下需在3日内通知保险公司，并在病情好转后及时转入约定医院
3. **填写申请**：由受益人填写保险金赔付申请书

## 所需材料清单
### 基本必备材料
- 保险合同原件
- 受益人的有效身份证件

### 医疗相关证明材料
- 医院出具的医疗诊断书
- 医疗病历或出院小结
- 检查检验报告及费用清单
- 医院出具的医疗费用原始凭证和医疗费用结算清单
- 如被保险人有基本医疗保险或公费医疗，需提供相关医疗费用补偿证明

### 特殊情况补充材料
- 如涉及院外药品费用，需提供：
  - 医院开具的处方笺复印件
  - 院外药房的收费票据

### 其他材料
- 与确认保险事故性质、原因等有关的其他证明和资料

## 理赔时效
- 保险公司在收到完整材料后5日内作出核定
- 情形复杂的在30日内作出核定
- 属于保险责任的，在达成协议后10日内履行赔付义务
- 30日内未作出核定的，从第31日起按公示利率支付利息损失

建议在申请前仔细核对材料完整性，如有缺失保险公司会一次性通知补充。",准确
移小保安欣保2.0长期医疗,家庭成员可以一起投保吗，有什么条件？,"根据产品文档信息，家庭成员可以一起投保形成家庭保单，但需要满足以下条件：

1. 所有家庭成员必须同时参保，即在同一投保行为中为两名及以上符合条件的人员申请投保
2. 家庭成员范围限定为投保人的父母、子女以及投保时具有合法婚姻关系的配偶
3. 每位被保险人都必须满足产品规定的投保年龄要求（0-70周岁）和身体健康状况要求
4. 所有被保险人都需要通过保险公司的核保审核

非同时参保的被保险人保险单不能合并为家庭保单。

[参考文档块：块5]","根据移小保安欣保2.0长期医疗的相关条款，家庭成员可以一起投保，但需要满足以下条件：

**家庭成员范围：**
- 仅限投保人的父母、子女以及投保时具有合法婚姻关系的配偶

**投保条件：**
1. **居住要求：**
   - 被保险人于保险合同生效日前365天内在中华人民共和国境内（除香港、澳门及台湾地区）累计居住至少183天
   - 若被保险人投保时不满1周岁，则需在境内累计居住时间不少于自出生之日起至投保之日止累计日数的二分之一

2. **年龄要求：**
   - 首次投保年龄为0周岁至70周岁
   - 0周岁的被保险人需为出生满28日且已健康出院的婴儿

3. **健康状况：**
   - 被保险人的身体健康状况需要通过保险公司的核保审核

**重要说明：**
- 所有家庭成员必须同时参保才能形成家庭保单
- 不接受非同时参保的被保险人保险单合并为家庭保单
- 保障区域为中华人民共和国境内（除香港、澳门及台湾地区）

建议在投保前仔细阅读保险条款，确保所有家庭成员均符合上述条件后再进行投保。",准确
